Token list:

 TK  Ln Type                      Lexeme

  0   1:Token: 16: MODULE          MODULE                                                                                              
  1   1:Token: 35: ID              TestExp                                                                                             
  2   1:Token: 54: SEMI_COLON      ;                                                                                                   
  3   3:Token: 5 : CONST           CONST                                                                                               
  4   4:Token: 35: ID              lowest                                                                                              
  5   4:Token: 45: EQUAL           =                                                                                                   
  6   4:Token: 38: INT_NUM         3                                                                                                   
  7   4:Token: 54: SEMI_COLON      ;                                                                                                   
  8   5:Token: 35: ID              hi                                                                                                  
  9   5:Token: 45: EQUAL           =                                                                                                   
 10   5:Token: 38: INT_NUM         7                                                                                                   
 11   5:Token: 54: SEMI_COLON      ;                                                                                                   
 12   6:Token: 35: ID              middle                                                                                              
 13   6:Token: 45: EQUAL           =                                                                                                   
 14   6:Token: 38: INT_NUM         7                                                                                                   
 15   6:Token: 54: SEMI_COLON      ;                                                                                                   
 16   8:Token: 24: VAR             VAR                                                                                                 
 17   9:Token: 35: ID              good                                                                                                
 18   9:Token: 42: COMMA           ,                                                                                                   
 19   9:Token: 35: ID              bad                                                                                                 
 20   9:Token: 42: COMMA           ,                                                                                                   
 21   9:Token: 35: ID              ugly                                                                                                
 22   9:Token: 41: COLON           :                                                                                                   
 23   9:Token: 13: INTEGER         INTEGER                                                                                             
 24   9:Token: 54: SEMI_COLON      ;                                                                                                   
 25  11:Token: 3 : BEGIN           BEGIN                                                                                               
 26  13:Token: 35: ID              good                                                                                                
 27  13:Token: 40: ASSIGN          :=                                                                                                  
 28  13:Token: 38: INT_NUM         42                                                                                                  
 29  13:Token: 51: PLUS            +                                                                                                   
 30  13:Token: 38: INT_NUM         7                                                                                                   
 31  13:Token: 48: MINUS           -                                                                                                   
 32  13:Token: 38: INT_NUM         31                                                                                                  
 33  13:Token: 51: PLUS            +                                                                                                   
 34  13:Token: 38: INT_NUM         1                                                                                                   
 35  13:Token: 48: MINUS           -                                                                                                   
 36  13:Token: 38: INT_NUM         14                                                                                                  
 37  13:Token: 54: SEMI_COLON      ;                                                                                                   
 38  16:Token: 34: WRSTR           WRSTR                                                                                               
 39  16:Token: 47: LEFT_PAREN      (                                                                                                   
 40  16:Token: 39: STRING          Testing expressions:                                                                                
 41  16:Token: 53: RIGHT_PAREN     )                                                                                                   
 42  16:Token: 54: SEMI_COLON      ;                                                                                                   
 43  17:Token: 28: WRLN            WRLN                                                                                                
 44  17:Token: 54: SEMI_COLON      ;                                                                                                   
