Token list:

 TK  Ln Type                      Lexeme

  0   1:Token: 16: MODULE          MODULE                                                                                              
  1   1:Token: 35: ID              FullExpr                                                                                            
  2   1:Token: 54: SEMI_COLON      ;                                                                                                   
  3   3:Token: 5 : CONST           CONST                                                                                               
  4   4:Token: 35: ID              little                                                                                              
  5   4:Token: 45: EQUAL           =                                                                                                   
  6   4:Token: 38: INT_NUM         3                                                                                                   
  7   4:Token: 54: SEMI_COLON      ;                                                                                                   
  8   5:Token: 35: ID              hi                                                                                                  
  9   5:Token: 45: EQUAL           =                                                                                                   
 10   5:Token: 38: INT_NUM         7                                                                                                   
 11   5:Token: 54: SEMI_COLON      ;                                                                                                   
 12   6:Token: 35: ID              middle                                                                                              
 13   6:Token: 45: EQUAL           =                                                                                                   
 14   6:Token: 38: INT_NUM         7                                                                                                   
 15   6:Token: 54: SEMI_COLON      ;                                                                                                   
 16   8:Token: 24: VAR             VAR                                                                                                 
 17   9:Token: 35: ID              good                                                                                                
 18   9:Token: 42: COMMA           ,                                                                                                   
 19   9:Token: 35: ID              bad                                                                                                 
 20   9:Token: 42: COMMA           ,                                                                                                   
 21   9:Token: 35: ID              ugly                                                                                                
 22   9:Token: 41: COLON           :                                                                                                   
 23   9:Token: 13: INTEGER         INTEGER                                                                                             
 24   9:Token: 54: SEMI_COLON      ;                                                                                                   
 25  11:Token: 24: VAR             VAR                                                                                                 
 26  11:Token: 35: ID              k                                                                                                   
 27  11:Token: 42: COMMA           ,                                                                                                   
 28  11:Token: 35: ID              m                                                                                                   
 29  11:Token: 41: COLON           :                                                                                                   
 30  11:Token: 13: INTEGER         INTEGER                                                                                             
 31  11:Token: 54: SEMI_COLON      ;                                                                                                   
 32  13:Token: 3 : BEGIN           BEGIN                                                                                               
 33  15:Token: 35: ID              good                                                                                                
 34  15:Token: 40: ASSIGN          :=                                                                                                  
 35  15:Token: 38: INT_NUM         42                                                                                                  
 36  15:Token: 51: PLUS            +                                                                                                   
 37  15:Token: 38: INT_NUM         7                                                                                                   
 38  15:Token: 48: MINUS           -                                                                                                   
 39  15:Token: 38: INT_NUM         31                                                                                                  
 40  15:Token: 51: PLUS            +                                                                                                   
 41  15:Token: 38: INT_NUM         1                                                                                                   
 42  15:Token: 48: MINUS           -                                                                                                   
 43  15:Token: 38: INT_NUM         14                                                                                                  
 44  15:Token: 54: SEMI_COLON      ;                                                                                                   
 45  21:Token: 34: WRSTR           WRSTR                                                                                               
