Token list:

 TK  Ln Type                      Lexeme

  0   1:Token: 16: MODULE          MODULE                                                                                              
  1   1:Token: 35: ID              Square                                                                                              
  2   1:Token: 54: SEMI_COLON      ;                                                                                                   
  3   3:Token: 23: TYPE            TYPE                                                                                                
  4   4:Token: 35: ID              ListType                                                                                            
  5   4:Token: 45: EQUAL           =                                                                                                   
  6   4:Token: 2 : ARRAY           ARRAY                                                                                               
  7   4:Token: 46: LEFT_BRACK      [                                                                                                   
  8   4:Token: 38: INT_NUM         11                                                                                                  
  9   4:Token: 43: DOT             .                                                                                                   
 10   4:Token: 43: DOT             .                                                                                                   
 11   4:Token: 38: INT_NUM         30                                                                                                  
 12   4:Token: 52: RIGHT_BRACK     ]                                                                                                   
 13   4:Token: 18: OF              OF                                                                                                  
 14   4:Token: 13: INTEGER         INTEGER                                                                                             
 15   4:Token: 54: SEMI_COLON      ;                                                                                                   
 16   6:Token: 24: VAR             VAR                                                                                                 
 17   7:Token: 35: ID              aiSquares                                                                                           
 18   8:Token: 41: COLON           :                                                                                                   
 19   8:Token: 35: ID              ListType                                                                                            
 20   8:Token: 54: SEMI_COLON      ;                                                                                                   
 21  10:Token: 35: ID              index                                                                                               
 22  11:Token: 41: COLON           :                                                                                                   
 23  11:Token: 13: INTEGER         INTEGER                                                                                             
 24  11:Token: 54: SEMI_COLON      ;                                                                                                   
 25  13:Token: 3 : BEGIN           BEGIN                                                                                               
 26  16:Token: 35: ID              index                                                                                               
 27  16:Token: 40: ASSIGN          :=                                                                                                  
 28  16:Token: 38: INT_NUM         11                                                                                                  
 29  16:Token: 54: SEMI_COLON      ;                                                                                                   
 30  17:Token: 14: LOOP            LOOP                                                                                                
 31  18:Token: 12: IF              IF                                                                                                  
 32  18:Token: 35: ID              index                                                                                               
 33  18:Token: 56: GRTR_THAN       >                                                                                                   
 34  18:Token: 38: INT_NUM         30                                                                                                  
 35  18:Token: 22: THEN            THEN                                                                                                
 36  18:Token: 10: EXIT            EXIT                                                                                                
 37  18:Token: 54: SEMI_COLON      ;                                                                                                   
 38  18:Token: 9 : END             END                                                                                                 
 39  18:Token: 54: SEMI_COLON      ;                                                                                                   
 40  19:Token: 35: ID              aiSquares                                                                                           
 41  19:Token: 46: LEFT_BRACK      [                                                                                                   
 42  19:Token: 35: ID              index                                                                                               
 43  19:Token: 52: RIGHT_BRACK     ]                                                                                                   
 44  19:Token: 40: ASSIGN          :=                                                                                                  
 45  19:Token: 35: ID              index                                                                                               
