TokenList:

 TK  Ln Type                      Lexeme         

  0   1:Token: 16: MODULE          MODULE         
  1   1:Token: 35: ID              Primes         
  2   1:Token: 54: SEMI_COLON      ;              
  3   3:Token: 5 : CONST           CONST          
  4   4:Token: 35: ID              maxIntInSqrt   
  5   4:Token: 45: EQUAL           =              
  6   4:Token: 38: INT_NUM         8              
  7   4:Token: 54: SEMI_COLON      ;              
  8   6:Token: 23: TYPE            TYPE           
  9   7:Token: 35: ID              ListType       
 10   7:Token: 45: EQUAL           =              
 11   7:Token: 2 : ARRAY           ARRAY          
 12   7:Token: 46: LEFT_BRACK      [              
 13   7:Token: 38: INT_NUM         2              
 14   7:Token: 44: DOT_DOT         ..             
 15   7:Token: 38: INT_NUM         50             
 16   7:Token: 52: RIGHT_BRACK     ]              
 17   7:Token: 18: OF              OF             
 18   7:Token: 13: INTEGER         INTEGER        
 19   7:Token: 54: SEMI_COLON      ;              
 20   9:Token: 24: VAR             VAR            
 21  10:Token: 35: ID              aiPrimes       
 22  11:Token: 41: COLON           :              
 23  11:Token: 35: ID              ListType       
 24  11:Token: 54: SEMI_COLON      ;              
 25  13:Token: 35: ID              currPrime      
 26  13:Token: 42: COMMA           ,              
 27  14:Token: 35: ID              mult           
 28  14:Token: 42: COMMA           ,              
 29  15:Token: 35: ID              index          
 30  16:Token: 41: COLON           :              
 31  16:Token: 13: INTEGER         INTEGER        
 32  16:Token: 54: SEMI_COLON      ;              
 33  18:Token: 3 : BEGIN           BEGIN          
 34  21:Token: 35: ID              index          
 35  21:Token: 40: ASSIGN          :=             
 36  21:Token: 38: INT_NUM         2              
 37  21:Token: 54: SEMI_COLON      ;              
 38  22:Token: 14: LOOP            LOOP           
 39  23:Token: 12: IF              IF             
 40  23:Token: 35: ID              index          
 41  23:Token: 56: GRTR_THAN       >              
 42  23:Token: 38: INT_NUM         50             
 43  23:Token: 22: THEN            THEN           
 44  23:Token: 10: EXIT            EXIT           
 45  23:Token: 54: SEMI_COLON      ;              
 46  23:Token: 9 : END             END            
 47  23:Token: 54: SEMI_COLON      ;              
 48  24:Token: 35: ID              aiPrimes       
 49  24:Token: 46: LEFT_BRACK      [              
 50  24:Token: 35: ID              index          
 51  24:Token: 52: RIGHT_BRACK     ]              
 52  24:Token: 40: ASSIGN          :=             
 53  24:Token: 38: INT_NUM         0              
 54  24:Token: 54: SEMI_COLON      ;              
 55  25:Token: 35: ID              index          
 56  25:Token: 40: ASSIGN          :=             
