aiPrimes             0      TYPE_ARRAY      TYPE_INT        LOCAL_VAR       8         
mult                 0      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       208       
HussPiler_Main       0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
currPrime            0      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       212       
maxIntInSqrt         0      TYPE_CONST      TYPE_INT        VAL_PARM        0         
index                0      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       204       
ListType             0      TYPE_TYPE_ARRAY STORE_NONE      VAL_PARM        0         
little               1      TYPE_PROC       STORE_NONE      VAL_PARM        0         
HussPiler_Main       0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
k                    0      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       8         
little               0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
little               1      TYPE_PROC       STORE_NONE      VAL_PARM        0         
i                    1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        8         
HussPiler_Main       0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
k                    0      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       8         
little               0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
three                1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        8         
one                  1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        16        
TowersOfHanoi        1      TYPE_PROC       STORE_NONE      VAL_PARM        0         
two                  1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        12        
k                    1      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       20        
HussPiler_Main       0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
TowersOfHanoi        0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
numDisks             0      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       8         
three                1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        8         
one                  1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        16        
TowersOfHanoi        1      TYPE_PROC       STORE_NONE      VAL_PARM        0         
two                  1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        12        
k                    1      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       20        
HussPiler_Main       0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
TowersOfHanoi        0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
numDisks             0      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       8         
i                    1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        12        
j                    1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        8         
TowersOfHanoi        1      TYPE_PROC       STORE_NONE      VAL_PARM        0         
k                    1      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       20        
n                    1      TYPE_SIMPLE     TYPE_INT        VAL_PARM        16        
HussPiler_Main       0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
TowersOfHanoi        0      TYPE_PROC       STORE_NONE      VAL_PARM        0         
numDisks             0      TYPE_SIMPLE     TYPE_INT        LOCAL_VAR       8         
