TokenList:

 TK  Ln Type                      Lexeme         

  0   1:Token: 16: MODULE          MODULE         
  1   1:Token: 35: ID              Bubble         
  2   1:Token: 54: SEMI_COLON      ;              
  3   3:Token: 23: TYPE            TYPE           
  4   4:Token: 35: ID              ListType       
  5   4:Token: 45: EQUAL           =              
  6   4:Token: 2 : ARRAY           ARRAY          
  7   4:Token: 46: LEFT_BRACK      [              
  8   4:Token: 38: INT_NUM         1              
  9   4:Token: 44: DOT_DOT         ..             
 10   4:Token: 38: INT_NUM         10             
 11   4:Token: 52: RIGHT_BRACK     ]              
 12   4:Token: 18: OF              OF             
 13   4:Token: 13: INTEGER         INTEGER        
 14   4:Token: 54: SEMI_COLON      ;              
 15   6:Token: 24: VAR             VAR            
 16   7:Token: 35: ID              thisList       
 17   7:Token: 41: COLON           :              
 18   7:Token: 35: ID              ListType       
 19   7:Token: 54: SEMI_COLON      ;              
 20  12:Token: 20: PROCEDURE       PROCEDURE      
 21  12:Token: 35: ID              Fill           
 22  12:Token: 47: LEFT_PAREN      (              
 23  12:Token: 24: VAR             VAR            
 24  12:Token: 35: ID              list           
 25  12:Token: 41: COLON           :              
 26  12:Token: 35: ID              ListType       
 27  12:Token: 53: RIGHT_PAREN     )              
 28  12:Token: 54: SEMI_COLON      ;              
 29  14:Token: 5 : CONST           CONST          
 30  14:Token: 35: ID              startSeed      
 31  14:Token: 45: EQUAL           =              
 32  14:Token: 38: INT_NUM         29             
 33  14:Token: 54: SEMI_COLON      ;              
 34  16:Token: 24: VAR             VAR            
 35  17:Token: 35: ID              index          
 36  17:Token: 41: COLON           :              
 37  17:Token: 13: INTEGER         INTEGER        
 38  17:Token: 54: SEMI_COLON      ;              
 39  19:Token: 3 : BEGIN           BEGIN          
 40  20:Token: 35: ID              index          
 41  20:Token: 40: ASSIGN          :=             
 42  20:Token: 38: INT_NUM         1              
 43  20:Token: 54: SEMI_COLON      ;              
 44  21:Token: 14: LOOP            LOOP           
 45  22:Token: 12: IF              IF             
 46  22:Token: 35: ID              index          
 47  22:Token: 56: GRTR_THAN       >              
 48  22:Token: 38: INT_NUM         10             
 49  22:Token: 22: THEN            THEN           
 50  22:Token: 10: EXIT            EXIT           
 51  22:Token: 54: SEMI_COLON      ;              
 52  22:Token: 9 : END             END            
 53  22:Token: 54: SEMI_COLON      ;              
 54  23:Token: 35: ID              list           
 55  23:Token: 46: LEFT_BRACK      [              
 56  23:Token: 35: ID              index          
